Name,Score
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
asd,0
asd,0
asd,0
asd,0
asd,0
luke,100
Luke2,3000
Luke123,1500
Luke,400
Luke,2400
DavidMalen,1500
Luke,600
Norman,400
David,400
LukeReynold,0
DRWHO,700
AnDrew,3000
Moose,400
MArtin,2100
Testing,1500
Luke,3000
Lujke,1200
r,1400
d,700
Luke,400
DavidMallen,3000
Luke,1200
LukeReynold,2100
Henry,0
r,500
Henrietta,7000
